1546300800,23741.687033,3701.23,3797.14,3642,3797.14
1546387200,35156.463369,3796.45,3858.56,3750.45,3858.56
1546473600,29406.948359,3857.57,3766.78,3730,3766.78
1546560000,29519.554671,3767.2,3792.01,3703.57,3792.01
1546646400,30490.667751,3790.09,3770.96,3751,3770.96
1546732800,36553.806709,3771.12,3987.6,3740,3987.6
1546819200,31869.846264,3987.62,3975.45,3921.53,3975.45
1546905600,38901.423122,3976.76,3955.13,3903,3955.13
1546992000,28989.439511,3955.45,3966.65,3930.04,3966.65
1547078400,59402.22851,3966.06,3585.88,3540,3585.88
1547164800,38338.654733,3585.88,3601.31,3465,3601.31
1547251200,21999.928354,3601.31,3583.13,3530,3583.13
1547337600,26385.757454,3584.1,3476.81,3441.3,3476.81
1547424000,35235.211215,3477.56,3626.09,3467.02,3626.09
1547510400,34137.997459,3626.08,3553.06,3516.62,3553.06
1547596800,27480.179977,3553.06,3591.84,3543.51,3591.84
1547683200,29755.440838,3591.84,3616.21,3530.39,3616.21
1547769600,22713.446755,3613.32,3594.87,3565.75,3594.87
1547856000,22171.578123,3594.87,3665.3,3594.23,3665.3
1547942400,27901.938598,3665.75,3539.28,3475,3539.28
1548028800,19644.436839,3539.26,3526.9,3475.5,3526.9
1548115200,29336.442967,3526.88,3570.93,3434.85,3570.93
1548201600,24938.842698,3570.41,3552.82,3514.5,3552.82
1548288000,20826.25118,3552.97,3569.62,3529.22,3569.62
1548374400,17608.346671,3569.07,3565.29,3522.51,3565.29
1548460800,19476.532344,3566.69,3565.25,3545,3565.25
1548547200,22735.598162,3565.62,3550.84,3486,3550.84
1548633600,40405.111401,3550.05,3434.15,3380.27,3434.15
1548720000,29544.928977,3434,3411.04,3349.92,3411.04
1548806400,23968.260243,3410.04,3458.18,3387.1,3458.18
1548892800,29607.190253,3457.5,3434.1,3418.8,3434.1
1548979200,25260.476159,3434.1,3462.07,3401.2,3462.07
1549065600,17920.802,3462.2,3504.77,3440.29,3504.77
1549152000,19867.33639,3504.06,3458.11,3426,3458.11
1549238400,23131.981108,3458.11,3463.22,3433.31,3463.22
1549324800,25264.41503,3463.22,3471.59,3448.43,3471.59
1549411200,35310.244846,3471.57,3405.37,3380,3405.37
